Supplementary Table 5.  Genes annotated with “behavior” underneath each QTL (see “Candidate Gene Nomination” in Supplementary File 1).  ,,,,,,,,,,,,,,,
Gene Symbol,Chromosome,Gene Name,MGI ID,Start bp (GRCm39),End bp (GRCm39),Number of missense variants,Number of splice region variants,Number of inframe deletions,Number of inframe insertions,Number of nonsense mutations,Number of conserved element changes,Expressed in amygdala,Expressed in hippocampus,Expressed in prefrontal cortex,Interesting
Hmx3,7,H6 homeobox 3,MGI:107160,131144596,131146654,0,0,0,0,0,0,NO,NO,NO,NO
Homer2,7,homer scaffolding protein 2,MGI:1347354,81250229,81356673,0,0,0,0,0,0,NO,YES,YES,NO
Hs3st2,7,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,MGI:1333802,120991082,121100993,0,0,0,0,0,12,NO,YES,YES,YES
Il21r,7,interleukin 21 receptor,MGI:1890475,125202601,125232742,2,0,0,0,0,4,NO,YES,YES,YES
Ilk,7,integrin linked kinase,MGI:1195267,105385799,105392132,0,0,0,0,0,1,NO,YES,NO,YES
Ino80e,7,INO80 complex subunit E,MGI:2141881,126450756,126461544,0,0,0,0,0,1,NO,YES,YES,YES
Inppl1,7,inositol polyphosphate phosphatase-like 1,MGI:1333787,101471839,101487433,0,0,0,0,0,1,NO,YES,YES,YES
Iqgap1,7,IQ motif containing GTPase activating protein 1,MGI:1352757,80361331,80453288,1,1,0,0,0,5,NO,YES,YES,YES
Kat8,7,K(lysine) acetyltransferase 8,MGI:1915023,127511689,127525010,0,0,0,0,0,0,NO,YES,YES,NO
Katnip,7,katanin interacting protein,MGI:2442760,125307060,125473965,0,0,0,0,0,0,NO,YES,YES,NO
Kctd13,7,potassium channel tetramerisation domain containing 13,MGI:1923739,126528051,126544781,0,0,0,0,0,0,YES,YES,YES,NO
Kdm8,7,lysine (K)-specific demethylase 8,MGI:1924285,125043848,125061441,0,0,0,0,0,0,NO,YES,YES,NO
Lat,7,linker for activation of T cells,MGI:1342293,125962996,125968742,0,0,0,0,0,1,NO,YES,NO,YES
Lcmt1,7,leucine carboxyl methyltransferase 1,MGI:1353593,122977026,123029581,0,0,0,0,0,1,NO,YES,YES,YES
Lmo1,7,LIM domain only 1,MGI:102812,108737779,108774414,0,0,0,0,0,1,YES,YES,YES,YES
Lrrk1,7,leucine-rich repeat kinase 1,MGI:2142227,65908493,66038089,2,0,0,0,0,9,NO,YES,YES,YES
Magel2,7,MAGE family member L2,MGI:1351648,62026758,62031388,1,0,0,0,0,0,NO,YES,YES,YES
Map6,7,microtubule-associated protein 6,MGI:1201690,98916654,98986344,0,0,0,0,0,0,NO,YES,YES,NO
Mapk3,7,mitogen-activated protein kinase 3,MGI:1346859,126358798,126364988,0,0,0,0,0,0,YES,YES,YES,NO
Maz,7,MYC-associated zinc finger protein (purine-binding transcription factor),MGI:1338823,126621302,126626209,0,0,0,0,0,0,YES,YES,YES,NO
Mef2a,7,myocyte enhancer factor 2A,MGI:99532,66880911,67022606,0,1,0,0,0,0,YES,YES,YES,YES
Mex3b,7,mex3 RNA binding family member B,MGI:1918252,82516541,82520723,0,0,0,0,0,3,NO,YES,YES,YES
Mogat2,7,monoacylglycerol O-acyltransferase 2,MGI:2663253,98868291,98887818,0,0,0,0,0,0,NO,NO,NO,NO
Mphosph10,7,M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein),MGI:1915223,64026289,64041984,0,0,0,0,0,0,NO,YES,YES,NO
Myo7a,7,myosin VIIA,MGI:104510,97700267,97768731,0,0,0,0,0,0,YES,YES,YES,NO
Nars2,7,asparaginyl-tRNA synthetase 2 (mitochondrial)(putative),MGI:2142075,96600712,96713965,0,0,0,0,0,1,NO,YES,YES,YES
Ndn,7,"necdin, MAGE family member",MGI:97290,61998025,61999676,0,0,0,0,0,0,YES,YES,YES,NO
Ndufab1,7,NADH:ubiquinone oxidoreductase subunit AB1,MGI:1917566,121686038,121701071,0,0,0,0,0,0,NO,YES,YES,NO
Nfatc2ip,7,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein",MGI:1329015,125982026,125995909,0,0,0,0,0,2,NO,YES,YES,YES
Nmb,7,neuromedin B,MGI:1915289,80551975,80554810,0,0,0,0,0,0,NO,YES,YES,NO
Ntrk3,7,"neurotrophic tyrosine kinase, receptor, type 3",MGI:97385,77825711,78228865,0,0,0,0,0,5,YES,YES,YES,YES
Numa1,7,nuclear mitotic apparatus protein 1,MGI:2443665,101583318,101664171,0,0,0,0,0,0,NO,YES,YES,NO
Oat,7,ornithine aminotransferase,MGI:97394,132159207,132178127,0,0,0,0,0,0,NO,YES,YES,NO
Oca2,7,oculocutaneous albinism II,MGI:97454,55889508,56186266,2,0,0,0,0,7,NO,YES,NO,YES
Otoa,7,otoancorin,MGI:2149209,120682647,120762316,2,2,0,0,0,7,NO,NO,NO,NO
Otud7a,7,OTU domain containing 7A,MGI:2158505,63094499,63408776,0,0,0,0,0,5,NO,YES,YES,YES
Pde8a,7,phosphodiesterase 8A,MGI:1277116,80863344,80984281,0,0,0,0,0,7,NO,YES,YES,YES
Phox2a,7,paired-like homeobox 2a,MGI:106633,101467520,101471933,0,0,0,0,0,0,NO,NO,YES,NO
Plin1,7,perilipin 1,MGI:1890505,79370912,79382652,0,0,0,0,0,0,NO,YES,NO,NO
Polg,7,"polymerase (DNA directed), gamma",MGI:1196389,79095979,79116110,1,0,0,0,0,2,NO,YES,YES,YES
Ppfibp2,7,"PTPRF interacting protein, binding protein 2 (liprin beta 2)",MGI:894649,107194414,107347790,1,2,0,0,0,14,NO,YES,YES,YES
Ppme1,7,protein phosphatase methylesterase 1,MGI:1919840,99975944,100021103,0,0,0,0,0,0,NO,YES,YES,NO
Ppp4c,7,"protein phosphatase 4, catalytic subunit",MGI:1891763,126385038,126391668,0,0,0,0,0,1,NO,YES,YES,YES
Prcp,7,prolylcarboxypeptidase (angiotensinase C),MGI:1919711,92524461,92583789,0,0,0,0,0,1,NO,YES,YES,YES
Prkcb,7,"protein kinase C, beta",MGI:97596,121888327,122233625,0,0,0,0,0,4,YES,YES,YES,YES
Prrt2,7,proline-rich transmembrane protein 2,MGI:1916267,126616703,126620383,0,0,0,0,0,0,NO,YES,YES,NO
Prss53,7,"protease, serine 53",MGI:2652890,127485013,127490142,0,0,0,0,0,1,NO,YES,YES,YES
Prss8,7,"protease, serine 8 (prostasin)",MGI:1923810,127524888,127529276,0,0,0,0,0,0,NO,YES,NO,NO
Rccd1,7,RCC1 domain containing 1,MGI:2444156,79944339,79974512,0,0,0,0,0,0,NO,YES,YES,NO
Rrp8,7,ribosomal RNA processing 8,MGI:1914251,105380937,105386592,0,0,0,0,0,0,YES,YES,YES,NO
Rsf1,7,remodeling and spacing factor 1,MGI:2682305,97229103,97341989,1,0,0,0,0,10,NO,YES,YES,YES
Sbk1,7,SH3-binding kinase 1,MGI:2135937,125848034,125894188,0,0,0,0,0,2,YES,YES,YES,YES
Scnn1g,7,"sodium channel, nonvoltage-gated 1 gamma",MGI:104695,121333702,121367698,0,1,0,0,0,3,NO,YES,NO,YES
Selenos,7,selenoprotein S,MGI:95994,65729397,65739153,0,1,0,0,0,1,NO,YES,YES,YES
Sgf29,7,SAGA complex associated factor 29,MGI:1922815,126248481,126272097,0,0,0,0,0,0,NO,YES,YES,NO
Slc5a2,7,"solute carrier family 5 (sodium/glucose cotransporter), member 2",MGI:2181411,127864855,127871602,0,0,0,0,0,0,NO,NO,NO,NO
Smpd1,7,"sphingomyelin phosphodiesterase 1, acid lysosomal",MGI:98325,105203567,105207596,0,0,0,0,0,0,YES,YES,YES,NO
Snrpn,7,small nuclear ribonucleoprotein N,MGI:98347,59632243,59789967,0,0,0,0,0,1,NO,YES,YES,YES
Spn,7,sialophorin,MGI:98384,126731404,126736995,0,0,0,0,0,1,NO,YES,NO,YES
St8sia2,7,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",MGI:106020,73588867,73663438,0,0,0,0,0,0,YES,YES,YES,NO
Stard10,7,START domain containing 10,MGI:1860093,100966293,100995833,0,0,0,0,0,2,NO,YES,YES,YES
Stim1,7,stromal interaction molecule 1,MGI:107476,101917013,102086526,0,0,0,0,0,7,NO,YES,YES,YES
Stx1b,7,syntaxin 1B,MGI:1930705,127403072,127423703,0,0,0,0,0,2,NO,YES,YES,YES
Sv2b,7,synaptic vesicle glycoprotein 2 b,MGI:1927338,74764642,74959010,0,0,0,0,0,1,YES,YES,YES,YES
Synm,7,"synemin, intermediate filament protein",MGI:2661187,67379909,67409490,1,0,0,0,0,2,NO,YES,YES,YES
Syt9,7,synaptotagmin IX,MGI:1926373,106969935,107147863,0,0,0,0,0,4,NO,YES,YES,YES
Taok2,7,TAO kinase 2,MGI:1915919,126464850,126483875,0,0,0,0,0,0,NO,YES,YES,NO
Tarsl2,7,threonyl-tRNA synthetase-like 2,MGI:2444486,65294646,65341839,3,1,0,0,0,7,NO,YES,YES,YES
Tenm4,7,teneurin transmembrane protein 4,MGI:2447063,95820453,96560300,0,0,0,0,0,47,NO,YES,YES,YES
Thrsp,7,thyroid hormone responsive,MGI:109126,97062140,97066757,0,0,0,0,0,0,YES,YES,YES,NO
Tlcd3b,7,TLC domain containing 3B,MGI:1916202,126413213,126429391,0,0,0,0,0,3,NO,YES,YES,YES
Tm2d3,7,TM2 domain containing 3,MGI:1915884,65343128,65351661,0,1,0,0,0,1,NO,YES,YES,YES
Tomt,7,transmembrane O-methyltransferase,MGI:3769724,101549010,101555572,0,0,0,0,0,0,NO,YES,NO,NO
Tpp1,7,tripeptidyl peptidase I,MGI:1336194,105394018,105401442,0,0,0,0,0,1,YES,YES,YES,YES
Trim3,7,tripartite motif-containing 3,MGI:1860040,105253670,105282778,0,1,0,0,0,3,NO,YES,YES,YES
Trim72,7,tripartite motif-containing 72,MGI:3612190,127603121,127610205,0,0,0,0,0,0,NO,YES,YES,NO
Trpc2,7,"transient receptor potential cation channel, subfamily C, member 2",MGI:109527,101732323,101745603,0,0,0,0,0,0,NO,NO,NO,NO
Trpm1,7,"transient receptor potential cation channel, subfamily M, member 1",MGI:1330305,63803583,63919523,1,2,0,0,0,4,NO,NO,NO,NO
Tub,7,tubby bipartite transcription factor,MGI:2651573,108610087,108633666,0,1,0,0,0,3,YES,YES,YES,YES
Tyr,7,tyrosinase,MGI:98880,87073979,87142720,1,0,0,0,0,3,YES,YES,NO,YES
Ube3a,7,ubiquitin protein ligase E3A,MGI:105098,58878498,58961284,0,0,0,0,0,0,YES,YES,YES,NO
Ucp2,7,"uncoupling protein 2 (mitochondrial, proton carrier)",MGI:109354,100142544,100148836,0,0,0,0,0,0,NO,YES,YES,NO
Unc45a,7,unc-45 myosin chaperone A,MGI:2142246,79975040,79990748,0,0,0,0,0,0,NO,YES,YES,NO
Usp31,7,ubiquitin specific peptidase 31,MGI:1923429,121241244,121306476,0,0,0,0,0,1,NO,YES,YES,YES
Vmn2r65,7,"vomeronasal 2, receptor 65",MGI:3642776,84589377,84613217,0,0,0,0,0,0,NO,NO,NO,NO
Wdr11,7,WD repeat domain 11,MGI:1920230,129193587,129237462,0,0,0,0,0,0,NO,YES,YES,NO
Ypel3,7,yippee like 3,MGI:1913340,126376135,126379682,0,0,0,0,0,1,NO,YES,YES,YES
Zfp629,7,zinc finger protein 629,MGI:2444524,127206200,127214958,0,0,0,0,0,1,NO,YES,YES,YES
Zfp689,7,zinc finger protein 689,MGI:1918381,127041308,127048330,0,0,0,0,0,0,NO,YES,YES,NO
Aadat,8,aminoadipate aminotransferase,MGI:1345167,60958966,60998711,0,0,0,0,0,0,NO,YES,YES,NO
Aars,8,alanyl-tRNA synthetase,MGI:2384560,111759781,111784237,1,4,0,0,0,18,YES,YES,YES,YES
Abce1,8,"ATP-binding cassette, sub-family E (OABP), member 1",MGI:1195458,80410091,80438369,0,0,0,0,0,1,NO,YES,YES,YES
Abhd8,8,abhydrolase domain containing 8,MGI:1918946,71909349,71916299,0,0,0,0,0,1,NO,YES,YES,YES
Acd,8,adrenocortical dysplasia,MGI:87873,106424787,106427860,0,0,0,0,0,0,NO,YES,YES,NO
Acsl1,8,acyl-CoA synthetase long-chain family member 1,MGI:102797,46924074,46989088,0,0,0,0,0,0,NO,YES,YES,NO
Adam18,8,a disintegrin and metallopeptidase domain 18,MGI:105986,25092262,25164771,0,0,0,0,0,0,NO,YES,YES,NO
Adam20,8,a disintegrin and metallopeptidase domain 20,MGI:2152342,41246310,41250340,2,0,0,0,0,2,NO,NO,NO,NO
Adam3,8,a disintegrin and metallopeptidase domain 3 (cyritestin),MGI:102518,25167241,25215868,0,0,0,0,0,0,NO,NO,NO,NO
Adam32,8,a disintegrin and metallopeptidase domain 32,MGI:2653822,25326156,25438820,0,0,0,0,0,1,NO,YES,YES,YES
Adcy7,8,adenylate cyclase 7,MGI:102891,88999031,89056590,0,0,0,0,0,0,YES,YES,YES,NO
Adgrg1,8,adhesion G protein-coupled receptor G1,MGI:1340051,95701384,95740836,0,0,0,0,0,0,NO,YES,YES,NO
Adgrg1,8,adhesion G protein-coupled receptor G1,MGI:1340051,95701384,95740836,0,0,0,0,0,0,NO,YES,YES,NO
Adgrl1,8,adhesion G protein-coupled receptor L1,MGI:1929461,84626734,84668583,0,0,0,0,0,0,YES,YES,YES,NO
Adrb3,8,"adrenergic receptor, beta 3",MGI:87939,27715804,27720833,0,0,0,0,0,0,YES,YES,YES,NO
Aga,8,aspartylglucosaminidase,MGI:104873,53964762,53976456,0,0,0,0,0,1,NO,YES,YES,YES
Agrp,8,agouti related neuropeptide,MGI:892013,106293327,106306477,0,0,0,0,0,0,NO,YES,YES,NO
Aktip,8,AKT interacting protein,MGI:3693832,91834267,91862122,0,0,0,0,0,0,NO,YES,YES,NO
Alg11,8,"asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)",MGI:2142632,22550737,22561643,3,0,0,0,0,8,NO,YES,YES,YES
Ank1,8,"ankyrin 1, erythroid",MGI:88024,23464860,23640513,0,0,0,0,0,2,YES,YES,YES,YES
Ankle1,8,ankyrin repeat and LEM domain containing 1,MGI:1918775,71858654,71862548,0,0,0,0,0,0,NO,YES,NO,NO
Ankrd10,8,ankyrin repeat domain 10,MGI:1921840,11661583,11685757,0,0,0,0,0,0,NO,YES,YES,NO
Ano8,8,anoctamin 8,MGI:2687327,71928663,71938607,0,0,0,0,0,1,NO,YES,YES,YES
Ap1g1,8,"adaptor protein complex AP-1, gamma 1 subunit",MGI:101919,110505215,110590842,0,0,0,0,0,17,NO,YES,YES,YES
Ap3m2,8,"adaptor-related protein complex 3, mu 2 subunit",MGI:1929214,23277370,23295638,0,0,0,0,0,0,NO,YES,YES,NO
Arhgap10,8,Rho GTPase activating protein 10,MGI:1925764,77976995,78244582,1,0,0,0,0,31,NO,YES,YES,YES
Arhgef10,8,Rho guanine nucleotide exchange factor (GEF) 10,MGI:2444453,14961663,15051085,1,0,0,0,0,2,NO,YES,YES,YES
Arl2bp,8,ADP-ribosylation factor-like 2 binding protein,MGI:1349429,95393228,95401053,0,0,0,0,0,0,NO,YES,YES,NO
Asah1,8,N-acylsphingosine amidohydrolase 1,MGI:1277124,41793234,41827810,0,0,0,0,0,1,YES,YES,YES,YES
Atmin,8,ATM interactor,MGI:2682328,117670132,117687184,1,0,0,0,0,1,YES,YES,YES,YES
Atp6v0d1,8,"ATPase, H+ transporting, lysosomal V0 subunit D1",MGI:1201778,106251097,106292679,0,0,0,0,0,0,NO,YES,YES,NO
Atp6v1b2,8,"ATPase, H+ transporting, lysosomal V1 subunit B2",MGI:109618,69541388,69566370,0,1,0,0,0,1,NO,YES,YES,YES
Atp7b,8,"ATPase, Cu++ transporting, beta polypeptide",MGI:103297,22482801,22550321,4,0,0,0,0,13,NO,YES,YES,YES
Atxn1l,8,ataxin 1-like,MGI:3694797,110453083,110464371,0,0,0,0,0,0,NO,YES,YES,NO
B3gnt3,8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3",MGI:2152535,72143400,72154433,1,0,0,0,0,0,NO,YES,YES,YES
Bbs2,8,Bardet-Biedl syndrome 2 (human),MGI:2135267,94794582,94825556,0,0,0,0,0,13,YES,YES,YES,YES
Bbs2,8,Bardet-Biedl syndrome 2 (human),MGI:2135267,94794582,94825556,0,0,0,0,0,13,YES,YES,YES,YES
Bean1,8,"brain expressed, associated with Nedd4, 1",MGI:1929597,104897110,104945730,1,1,0,0,0,5,NO,YES,YES,YES
Brd7,8,bromodomain containing 7,MGI:1349766,89057667,89088822,0,0,0,0,0,0,YES,YES,YES,NO
Cacna1a,8,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",MGI:109482,85065268,85366875,0,0,0,0,0,2,NO,YES,YES,YES
Calb2,8,calbindin 2,MGI:101914,110869158,110894844,0,0,0,0,0,0,YES,YES,YES,NO
Calr,8,calreticulin,MGI:88252,85568717,85573560,0,0,0,0,0,2,NO,YES,YES,YES
Car7,8,carbonic anhydrase 7,MGI:103100,105261326,105276979,0,0,0,0,0,0,NO,YES,YES,NO
Cars2,8,cysteinyl-tRNA synthetase 2 (mitochondrial)(putative),MGI:1919191,11564017,11600781,1,0,0,0,0,1,NO,YES,YES,YES
Casp3,8,caspase 3,MGI:107739,47070326,47092724,0,0,0,0,0,0,YES,YES,YES,NO
Cbln1,8,cerebellin 1 precursor protein,MGI:88281,88195481,88199220,0,0,0,0,0,0,YES,YES,YES,NO
Cbln1,8,cerebellin 1 precursor protein,MGI:88281,88195481,88199220,0,0,0,0,0,0,YES,YES,YES,NO
Cc2d1a,8,coiled-coil and C2 domain containing 1A,MGI:2384831,84859457,84874546,0,0,0,0,0,0,NO,YES,YES,NO
Ccdc124,8,coiled-coil domain containing 124,MGI:1916403,71320870,71326134,0,0,0,0,0,0,NO,YES,YES,NO
Cdh11,8,cadherin 11,MGI:99217,103358727,103512125,0,0,0,0,0,5,YES,YES,YES,YES
Cdh13,8,cadherin 13,MGI:99551,119010472,120051660,0,0,0,0,0,7,YES,YES,YES,YES
Cdh8,8,cadherin 8,MGI:107434,99751103,100143103,0,0,0,0,0,11,YES,YES,YES,YES
Cdkn2aip,8,CDKN2A interacting protein,MGI:1918175,48162379,48166966,0,0,0,0,0,1,NO,YES,YES,YES
Cdyl2,8,"chromodomain protein, Y chromosome-like 2",MGI:1923046,117301139,117459730,0,0,0,0,0,2,NO,YES,YES,YES
Cers1,8,ceramide synthase 1,MGI:2136690,70768425,70784238,0,0,0,0,0,1,NO,YES,YES,YES
Ces1d,8,carboxylesterase 1D,MGI:2148202,93892700,93924432,0,0,0,0,0,1,NO,YES,NO,YES
Ces1g,8,carboxylesterase 1G,MGI:88378,94028997,94063837,0,0,0,0,0,1,NO,NO,NO,NO
Cherp,8,calcium homeostasis endoplasmic reticulum protein,MGI:106417,73214333,73229070,0,0,0,0,0,0,NO,YES,YES,NO
Chrnb3,8,"cholinergic receptor, nicotinic, beta polypeptide 3",MGI:106212,27858739,27889758,1,0,0,0,0,4,YES,YES,YES,YES
Chst5,8,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5,MGI:1931825,112615767,112636831,0,0,0,0,0,0,NO,YES,YES,NO
Cib3,8,calcium and integrin binding family member 3,MGI:2685953,72958179,72966840,0,0,0,0,0,1,NO,NO,NO,NO
Cib3,8,calcium and integrin binding family member 3,MGI:2685953,72958179,72966840,0,0,0,0,0,1,NO,NO,NO,NO
Clcn3,8,"chloride channel, voltage-sensitive 3",MGI:103555,61363423,61436334,0,0,0,0,0,1,NO,YES,YES,YES
Clec3a,8,"C-type lectin domain family 3, member a",MGI:2685642,115144826,115152586,0,0,0,0,0,0,NO,YES,NO,NO
Cln8,8,CLN8 transmembrane ER and ERGIC protein,MGI:1349447,14931335,14951720,0,0,0,0,0,0,YES,YES,YES,NO
Cnot7,8,"CCR4-NOT transcription complex, subunit 7",MGI:1298230,40945581,40968888,0,0,0,0,0,1,NO,YES,YES,YES
Cntnap4,8,contactin associated protein-like 4,MGI:2183572,113296675,113609349,0,0,0,0,0,5,NO,YES,YES,YES
Col4a1,8,"collagen, type IV, alpha 1",MGI:88454,11248423,11362826,0,0,0,0,0,6,YES,YES,YES,YES
Comp,8,cartilage oligomeric matrix protein,MGI:88469,70826208,70834716,0,0,0,0,0,0,NO,YES,NO,NO
Coq9,8,coenzyme Q9,MGI:1915164,95565041,95581523,0,0,0,0,0,0,NO,YES,YES,NO
Cpe,8,carboxypeptidase E,MGI:101932,65045576,65146088,0,0,0,0,0,8,YES,YES,YES,YES
Crlf1,8,cytokine receptor-like factor 1,MGI:1340030,70945808,70956731,0,0,0,0,0,0,NO,YES,YES,NO
Crtc1,8,CREB regulated transcription coactivator 1,MGI:2142523,70835005,70892229,0,0,0,0,0,0,NO,YES,YES,NO
Csgalnact1,8,chondroitin sulfate N-acetylgalactosaminyltransferase 1,MGI:2442354,68809433,69187798,0,0,0,0,0,3,NO,YES,YES,YES
Csmd1,8,CUB and Sushi multiple domains 1,MGI:2137383,15942537,17585602,0,1,0,0,0,11,NO,YES,YES,YES
Csnk2a2,8,"casein kinase 2, alpha prime polypeptide",MGI:88547,96172724,96215505,0,0,0,0,0,1,YES,YES,YES,YES
Cul4a,8,cullin 4A,MGI:1914487,13155623,13197940,0,0,0,0,0,1,NO,YES,YES,YES
Cx3cl1,8,chemokine (C-X3-C motif) ligand 1,MGI:1097153,95498808,95509055,0,0,0,0,0,0,YES,YES,YES,NO
Cyld,8,CYLD lysine 63 deubiquitinase,MGI:1921506,89423656,89478573,0,0,0,0,0,1,NO,YES,YES,YES
Cyp4v3,8,"cytochrome P450, family 4, subfamily v, polypeptide 3",MGI:2142763,45758838,45786200,2,1,0,0,0,3,YES,YES,YES,YES
Ddhd2,8,DDHD domain containing 2,MGI:1919358,26215351,26244502,0,0,0,0,0,1,NO,YES,YES,YES
Defb14,8,defensin beta 14,MGI:2675345,19244373,19245228,0,0,0,0,0,0,NO,NO,NO,NO
Dhx38,8,DEAH (Asp-Glu-Ala-His) box polypeptide 38,MGI:1927617,110274643,110292493,0,0,0,0,0,0,NO,YES,YES,NO
Dlgap2,8,DLG associated protein 2,MGI:2443181,14145865,14897680,0,0,0,0,0,3,NO,YES,YES,YES
Dok4,8,docking protein 4,MGI:2148865,95590456,95602940,0,0,0,0,0,2,YES,YES,YES,YES
Drc7,8,dynein regulatory complex subunit 7,MGI:2685616,95781731,95804769,0,0,0,0,0,0,NO,YES,YES,NO
Dync1li2,8,"dynein, cytoplasmic 1 light intermediate chain 2",MGI:107738,105144312,105169679,0,0,0,0,0,0,NO,YES,YES,NO
E2f4,8,E2F transcription factor 4,MGI:103012,106024295,106032002,0,0,0,0,0,0,YES,YES,YES,NO
Edc4,8,enhancer of mRNA decapping 4,MGI:2446249,106607505,106619857,0,0,0,1,0,1,NO,YES,YES,YES
Ednra,8,endothelin receptor type A,MGI:105923,78389658,78451081,0,0,0,0,0,0,NO,YES,YES,NO
Elmod2,8,ELMO/CED-12 domain containing 2,MGI:2445165,84039261,84059115,0,0,0,0,0,0,NO,YES,YES,NO
Eps15l1,8,epidermal growth factor receptor pathway substrate 15-like 1,MGI:104582,73094843,73175304,0,0,0,0,0,3,NO,YES,YES,YES
Exoc3l,8,exocyst complex component 3-like,MGI:3041195,106016556,106022733,0,0,0,0,0,0,NO,YES,YES,NO
F10,8,coagulation factor X,MGI:103107,13087308,13106676,0,0,0,0,0,0,NO,YES,NO,NO
Fa2h,8,fatty acid 2-hydroxylase,MGI:2443327,112071770,112120453,0,0,0,0,0,0,NO,YES,YES,NO
Fat1,8,FAT atypical cadherin 1,MGI:109168,45388484,45505294,6,1,0,0,0,8,NO,YES,YES,YES
Fbxo25,8,F-box protein 25,MGI:1914072,13957803,13990522,0,0,0,0,0,0,NO,YES,YES,NO
Fbxw9,8,F-box and WD-40 domain protein 9,MGI:1915878,85786748,85793750,0,0,0,0,0,0,NO,YES,YES,NO
Fgfr1,8,fibroblast growth factor receptor 1,MGI:95522,26008775,26065734,0,0,0,0,0,2,YES,YES,YES,YES
Fgl1,8,fibrinogen-like protein 1,MGI:102795,41644471,41668193,0,0,0,0,0,2,NO,NO,NO,NO
Fkbp8,8,FK506 binding protein 8,MGI:1341070,70980374,70987978,0,0,0,0,0,0,NO,YES,YES,NO
Fto,8,fat mass and obesity associated,MGI:1347093,92040153,92395067,0,0,0,0,0,64,NO,YES,YES,YES
Gab1,8,growth factor receptor bound protein 2-associated protein 1,MGI:108088,81491067,81607148,1,0,0,0,0,2,NO,YES,YES,YES
Galntl6,8,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6,MGI:1913581,58227086,59365674,0,0,0,0,0,42,NO,YES,YES,YES
Gan,8,giant axonal neuropathy,MGI:1890619,117884720,117932573,0,0,0,0,0,2,NO,YES,YES,YES
Gcdh,8,glutaryl-Coenzyme A dehydrogenase,MGI:104541,85613022,85620550,0,0,0,0,0,2,NO,YES,YES,YES
Gdf1,8,growth differentiation factor 1,MGI:95683,70782467,70784237,1,0,0,0,0,1,NO,NO,NO,NO
Gdf15,8,growth differentiation factor 15,MGI:1346047,71082043,71085106,0,0,0,0,0,0,NO,YES,NO,NO
Gdf15,8,growth differentiation factor 15,MGI:1346047,71082043,71085106,0,0,0,0,0,0,NO,YES,NO,NO
Gins4,8,GINS complex subunit 4 (Sld5 homolog),MGI:1923847,23716632,23727675,0,0,0,0,0,0,NO,YES,YES,NO
Glra3,8,"glycine receptor, alpha 3 subunit",MGI:95749,56393495,56583105,0,0,0,0,0,0,YES,YES,YES,NO
Gnao1,8,"guanine nucleotide binding protein, alpha O",MGI:95775,94536781,94696016,0,0,0,0,0,16,YES,YES,YES,YES
Gpt2,8,glutamic pyruvate transaminase (alanine aminotransferase) 2,MGI:1915391,86219205,86254189,0,0,0,0,0,1,YES,YES,YES,YES
Hand2,8,heart and neural crest derivatives expressed 2,MGI:103580,57774018,57777552,0,0,0,0,0,2,NO,NO,NO,NO
Helt,8,helt bHLH transcription factor,MGI:3040955,46745076,46747708,0,0,0,0,0,1,NO,NO,NO,NO
Hgsnat,8,heparan-alpha-glucosaminide N-acetyltransferase,MGI:1196297,26434487,26466772,1,0,0,0,0,4,YES,YES,YES,YES
Hmox1,8,heme oxygenase 1,MGI:96163,75820249,75827217,0,0,0,0,0,0,NO,YES,YES,NO
Homer3,8,homer scaffolding protein 3,MGI:1347359,70735529,70747011,0,0,0,0,0,1,NO,YES,YES,YES
Hook3,8,hook microtubule tethering protein 3,MGI:2443554,26511449,26609252,0,0,0,0,0,0,NO,YES,YES,NO
Hsd11b2,8,hydroxysteroid 11-beta dehydrogenase 2,MGI:104720,106245387,106250620,0,0,0,0,0,0,NO,YES,NO,NO
Hsd17b2,8,hydroxysteroid (17-beta) dehydrogenase 2,MGI:1096386,118428643,118485766,0,0,0,0,0,0,NO,YES,NO,NO
Hydin,8,"HYDIN, axonemal central pair apparatus protein",MGI:2389007,110993609,111336885,3,3,0,0,0,36,NO,YES,YES,YES
Ikbkb,8,inhibitor of kappaB kinase beta,MGI:1338071,23149228,23196605,0,0,0,0,0,1,NO,YES,YES,YES
Il15,8,interleukin 15,MGI:103014,83058261,83129851,0,0,0,0,0,1,NO,YES,YES,YES
Ing1,8,"inhibitor of growth family, member 1",MGI:1349481,11605762,11613251,0,0,0,0,0,0,NO,YES,YES,NO
Ing2,8,"inhibitor of growth family, member 2",MGI:1916510,48120213,48128591,0,0,0,0,0,0,NO,YES,YES,NO
Insl3,8,insulin-like 3,MGI:108427,72141896,72143221,0,0,0,0,0,0,NO,YES,YES,NO
Ints10,8,integrator complex subunit 10,MGI:1918135,69245729,69282062,0,0,0,0,0,1,NO,YES,YES,YES
